Year;Year (each ant moves once a year on average)
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
21;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;8
22;9
22;9
22;9
22;9
22;9
22;9
22;9
22;9
23;9
23;9
23;9
23;9
23;9
23;9
23;9
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
23;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
24;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
25;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
26;10
27;10
27;10
27;10
27;10
27;10
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;11
27;12
27;12
27;12
27;12
27;12
27;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
28;12
29;12
29;12
29;12
29;12
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;13
29;14
29;14
29;14
29;14
29;14
29;14
29;14
29;14
29;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
30;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;14
31;15
31;15
31;15
31;15
31;15
31;15
31;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
32;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;15
33;16
33;16
33;16
33;16
33;16
33;16
33;16
33;16
33;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
34;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
35;16
36;16
36;16
36;16
36;16
36;16
36;16
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
36;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
37;17
38;17
38;17
38;17
38;17
38;17
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
38;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
39;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
40;18
41;18
41;18
41;18
41;18
41;18
41;18
41;18
41;18
41;18
41;18
41;18
41;19
41;19
41;19
41;19
41;19
41;19
41;19
41;19
41;19
41;20
41;20
41;20
41;20
41;20
41;20
41;20
41;20
41;20
41;20
42;20
42;20
42;20
42;20
42;20
42;20
42;20
42;20
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
42;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;21
43;22
43;22
43;22
43;22
43;22
43;22
43;22
43;22
43;22
43;22
44;22
44;22
44;22
44;22
44;22
44;22
44;22
44;22
44;22
44;22
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
44;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
45;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
46;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
47;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
48;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
49;23
50;23
50;23
50;23
50;23
50;23
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
50;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
51;24
52;24
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
52;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
53;25
54;25
54;25
54;25
54;26
54;26
54;26
54;26
54;26
54;26
54;26
54;26
54;26
54;26
54;26
54;26
